프로젝트명,시작일,종료일,총예산,담당자,상태
협찬 대행 에이전시 (주) APR AGENCY,2026-03-23,2026-06-30,9000000,백영실,"완료
"
인플루언서 협찬 대행 에이전시 (주) APR 에이전시,2026-06-23,2026-09-22,9000000,백영실,진행중
