프로젝트명,카테고리,항목,금액,날짜,상태,비고
큐레이터·앰버서더 1기,소품 구매, 10920원, 2026.06.04
큐레이터·앰버서더 1기, 소품 구매, 16,230원, 2026.06.04, 웰컴카드 종이 구매
큐레이터·앰버서더 1기, 웰컴 기프트, 347,600원, 2026.06.04, 웰컴 기프트 제작
큐레이터·앰버서더 1기, 1차 웰컴 디너, 670,500원, 2026.06.07, 퍼멘츠 한남 
오블리크테이블x콜드프레임, 택배비, 40,000원,2026.06.30,인플루언서 기프트 카드 발송 
